WP_003868548.1	WP_103898180.1	9.85e-118	326	99.379	161	100	161	1	161	WP_103898180.1
WP_004103231.1	WP_004103231.1	1.10e-108	302	100.000	154	100	154	1	154	WP_004103231.1
WP_004103231.1	WP_103898412.1	9.63e-20	77.0	40.000	145	90	143	3	139	WP_103898412.1
WP_004103231.1	WP_103898428.1	3.66e-17	70.1	37.500	152	95	150	3	146	WP_103898428.1
WP_005584884.1	WP_103898172.1	8.87e-85	239	94.355	124	100	124	1	124	WP_103898172.1
WP_012207857.1	WP_103899073.1	0.0	914	98.238	454	100	454	1	454	WP_103899073.1
WP_012207857.1	WP_103897841.1	0.0	913	97.797	454	100	454	1	454	WP_103897841.1
WP_012207858.1	WP_103897842.1	1.75e-161	444	95.595	227	86	227	1	227	WP_103897842.1
WP_012207859.1	WP_103897843.1	5.56e-83	234	96.667	120	100	120	1	120	WP_103897843.1
WP_012207861.1	WP_103078767.1	1.18e-42	129	88.571	70	100	70	1	70	WP_103078767.1
WP_012207862.1	WP_103078766.1	9.63e-162	443	94.515	237	100	237	1	237	WP_103078766.1
WP_012207864.1	WP_103078764.1	0.0	605	90.769	325	100	325	1	325	WP_103078764.1
WP_012207865.1	WP_103078763.1	1.08e-164	452	89.157	249	100	249	1	249	WP_103078763.1
WP_012207866.1	WP_103078762.1	1.99e-33	105	93.846	65	100	65	1	65	WP_103078762.1
WP_012207867.1	WP_103078761.1	1.11e-129	358	92.432	185	100	185	1	185	WP_103078761.1
WP_012207868.1	WP_103078760.1	0.0	874	92.662	477	100	477	1	477	WP_103078760.1
WP_012207868.1	WP_211286448.1	2.37e-34	130	28.696	460	91	435	1	441	WP_211286448.1
WP_012207868.1	WP_103079075.1	3.86e-32	124	24.256	437	91	437	4	438	WP_103079075.1
WP_012207869.1	WP_103078759.1	5.23e-96	270	85.714	154	100	154	1	154	WP_103078759.1
WP_012207870.1	WP_211286448.1	0.0	833	90.508	453	100	453	1	453	WP_211286448.1
WP_012207870.1	WP_103079075.1	2.56e-30	118	25.908	413	90	409	10	406	WP_103079075.1
WP_012207870.1	WP_103078760.1	2.24e-26	107	27.938	451	97	441	6	435	WP_103078760.1
WP_012207870.1	WP_103897983.1	1.61e-14	71.6	23.956	455	97	447	2	437	WP_103897983.1
WP_012207871.1	WP_103078758.1	5.81e-97	272	95.172	145	100	145	1	145	WP_103078758.1
WP_012207871.1	WP_103078759.1	1.04e-04	36.6	25.874	143	92	134	5	138	WP_103078759.1
WP_012207872.1	WP_103078757.1	0.0	923	84.810	553	100	553	1	553	WP_103078757.1
WP_012207873.1	WP_103078756.1	0.0	1216	90.671	686	100	686	1	686	WP_103078756.1
WP_012207874.1	WP_103078755.1	2.03e-179	490	95.455	264	99	264	1	264	WP_103078755.1
WP_012207875.1	WP_103078754.1	3.66e-177	484	92.996	257	100	257	1	257	WP_103078754.1
WP_012207876.1	WP_103078753.1	1.67e-132	367	87.981	208	100	208	1	208	WP_103078753.1
WP_012207877.1	WP_103078752.1	1.23e-109	306	89.474	171	100	171	1	171	WP_103078752.1
WP_012207879.1	WP_103079385.1	0.0	779	94.787	422	100	422	1	422	WP_103079385.1
WP_012207881.1	WP_103897844.1	0.0	565	91.531	307	100	307	1	307	WP_103897844.1
WP_012207881.1	WP_103078749.1	1.54e-35	127	34.363	259	83	262	7	263	WP_103078749.1
WP_012207881.1	WP_103899199.1	2.31e-19	83.6	23.438	320	93	291	6	317	WP_103899199.1
WP_012207881.1	WP_103898550.1	2.25e-06	44.7	25.362	276	85	295	36	299	WP_103898550.1
WP_012207881.1	WP_103898562.1	0.001	36.6	21.502	293	92	304	26	302	WP_103898562.1
WP_012207883.1	WP_103897845.1	0.0	789	92.252	413	100	413	1	413	WP_103897845.1
WP_012207883.1	WP_103078893.1	7.97e-123	358	44.554	404	98	404	1	403	WP_103078893.1
WP_012207883.1	WP_103899313.1	2.54e-60	198	31.296	409	97	413	20	419	WP_103899313.1
WP_012207883.1	WP_169999643.1	1.06e-35	132	27.654	405	94	413	24	400	WP_169999643.1
WP_012207883.1	WP_103079189.1	3.10e-34	128	29.817	436	99	412	3	419	WP_103079189.1
WP_012207883.1	WP_103077667.1	1.28e-26	107	26.636	428	99	412	1	411	WP_103077667.1
