lcl|NC_010003.1_cds_WP_012207857.1_1	lcl|NZ_JALY01000230.1_cds_WP_103899073.1_1136	0.0	2084	94.217	1366	100	1365	1	1365	lcl|NZ_JALY01000230.1_cds_WP_103899073.1_1136
lcl|NC_010003.1_cds_WP_012207857.1_1	lcl|NZ_JALY01000002.1_cds_WP_103897841.1_1513	0.0	1973	92.747	1365	100	1365	1	1365	lcl|NZ_JALY01000002.1_cds_WP_103897841.1_1513
lcl|NC_010003.1_cds_WP_012207858.1_2	lcl|NZ_JALY01000003.1_cds_WP_103897842.1_340	0.0	1007	93.382	680	85	680	1	680	lcl|NZ_JALY01000003.1_cds_WP_103897842.1_340
lcl|NC_010003.1_cds_WP_012207859.1_3	lcl|NZ_JALY01000003.1_cds_WP_103897843.1_341	1.45e-150	527	92.837	363	100	363	1	363	lcl|NZ_JALY01000003.1_cds_WP_103897843.1_341
lcl|NC_010003.1_cds_WP_041533977.1_4	lcl|NZ_JALY01000003.1_cds_WP_103076612.1_342	2.05e-87	316	97.312	186	83	225	193	378	lcl|NZ_JALY01000003.1_cds_WP_103076612.1_342
lcl|NC_010003.1_cds_WP_012207861.1_5	lcl|NZ_JALY01000003.1_cds_WP_103078767.1_343	1.94e-82	300	92.019	213	100	213	1	213	lcl|NZ_JALY01000003.1_cds_WP_103078767.1_343
lcl|NC_010003.1_cds_WP_012207862.1_6	lcl|NZ_JALY01000003.1_cds_WP_103078766.1_344	0.0	1064	93.557	714	100	714	1	714	lcl|NZ_JALY01000003.1_cds_WP_103078766.1_344
lcl|NC_010003.1_cds_WP_231282502.1_7	lcl|NZ_JALY01000003.1_cds_WP_103078765.1_345	0.0	1751	90.888	1306	100	1305	235	1539	lcl|NZ_JALY01000003.1_cds_WP_103078765.1_345
lcl|NC_010003.1_cds_WP_012207864.1_9	lcl|NZ_JALY01000003.1_cds_WP_103078764.1_346	0.0	1330	91.207	978	100	978	1	978	lcl|NZ_JALY01000003.1_cds_WP_103078764.1_346
lcl|NC_010003.1_cds_WP_012207865.1_10	lcl|NZ_JALY01000003.1_cds_WP_103078763.1_347	0.0	948	89.467	750	100	750	1	750	lcl|NZ_JALY01000003.1_cds_WP_103078763.1_347
